symbol	alias_symbol	prev_symbol	name
CKS1BP5			CDC28 protein kinase regulatory subunit 1B pseudogene 5
CKS1BP6			CDC28 protein kinase regulatory subunit 1B pseudogene 6
CKS1BP7		"CKS1|CKS1A"	CDC28 protein kinase regulatory subunit 1B pseudogene 7
CKS2			CDC28 protein kinase regulatory subunit 2
CLASP1	"KIAA0622|MAST1"		cytoplasmic linker associated protein 1
CLASP1-AS1			CLASP1 antisense RNA 1
CLASP2	KIAA0627		cytoplasmic linker associated protein 2
CLASRP	"SWAP2|CLASP"	SFRS16	CLK4 associating serine/arginine rich protein
CLBA1		C14orf79	clathrin binding box of aftiphilin containing 1
CLC	"LGALS10|MGC149659|Gal-10"		Charcot-Leyden crystal galectin
CLCA1	"CaCC|CLCRG1"		chloride channel accessory 1
CLCA2	CLCRG2		chloride channel accessory 2
CLCA3P		CLCA3	chloride channel accessory 3, pseudogene
CLCA4	CaCC2		chloride channel accessory 4
CLCA4-AS1			CLCA4 antisense RNA 1
CLCC1	MCLC		chloride channel CLIC like 1
CLCF1	"NNT1|BSF3|CLC|NR6|CISS2|BSF-3|NNT-1"		cardiotrophin like cytokine factor 1
CLCN1	"CLC1|ClC-1"		chloride voltage-gated channel 1
CLCN2	"CLC2|EJM6|ClC-2"		chloride voltage-gated channel 2
CLCN3	"CLC3|ClC-3"		chloride voltage-gated channel 3
CLCN3P1			chloride voltage-gated channel 3 pseudogene 1
CLCN4	"CLC4|ClC-4"		chloride voltage-gated channel 4
CLCN5	"DENTS|XLRH|hClC-K2|hCIC-K2|CLC5|XRN|ClC-5"	"NPHL2|NPHL1"	chloride voltage-gated channel 5
CLCN6	"CLC-6|KIAA0046|ClC-6"		chloride voltage-gated channel 6
CLCN7	"CLC-7|OPTA2|CLC7|ClC-7|PPP1R63"		chloride voltage-gated channel 7
CLCNKA	"hClC-Ka|ClC-K1|CLCK1"		chloride voltage-gated channel Ka
CLCNKB	"hClC-Kb|CLCKB|ClC-K2|ClC-Kb"		chloride voltage-gated channel Kb
CLCP1			Charcot-Leyden crystal protein pseudogene 1
CLCP2	LGALS10P1		Charcot-Leyden crystal protein pseudogene 2
CLDN1	"SEMP1|ILVASC"		claudin 1
CLDN2			claudin 2
CLDN3	"RVP1|CPE-R2|HRVP1"	"C7orf1|CPETR2"	claudin 3
CLDN4	"CPE-R|WBSCR8|hCPE-R"	"CPETR|CPETR1"	claudin 4
CLDN5	"CPETRL1|BEC1"	"AWAL|TMVCF"	claudin 5
CLDN6			claudin 6
CLDN7	Hs.84359	"CEPTRL2|CPETRL2"	claudin 7
CLDN7P1			CLDN7 pseudogene 1
CLDN8			claudin 8
CLDN9			claudin 9
CLDN10	"OSP-L|CPETRL3"		claudin 10
CLDN10-AS1			CLDN10 antisense RNA 1
CLDN11	OSP	OTM	claudin 11
CLDN12			claudin 12
CLDN14		DFNB29	claudin 14
CLDN14-AS1	"AP000695.4|PTAR|lnc-CHAF1B-3"		CLDN14 antisense RNA 1
CLDN15			claudin 15
CLDN16	"PCLN1|HOMG3"		claudin 16
CLDN17	"MGC126552|MGC126554"		claudin 17
CLDN18		SFTPJ	claudin 18
CLDN19			claudin 19
CLDN20			claudin 20
CLDN22	CLDN21		claudin 22
CLDN23	CLDNL		claudin 23
CLDN24		CLDN21	claudin 24
CLDN25			claudin 25
CLDN34			claudin 34
CLDND1	Z38	C3orf4	claudin domain containing 1
CLDND2	MGC33839		claudin domain containing 2
CLEC1A	"CLEC1|CLEC-1|MGC34328"		C-type lectin domain family 1 member A
CLEC1B	"CLEC2|CLEC-2"		C-type lectin domain family 1 member B
CLEC2A	"UNQ5792|INPE5792|KACL|PILAR"		C-type lectin domain family 2 member A
CLEC2B	"AICL|HP10085"	CLECSF2	C-type lectin domain family 2 member B
CLEC2D	"LLT1|CLAX|OCIL"		C-type lectin domain family 2 member D
CLEC2L	FLJ32986		C-type lectin domain family 2 member L
CLEC3A		CLECSF1	C-type lectin domain family 3 member A
CLEC3B	TN	TNA	C-type lectin domain family 3 member B
CLEC4A	"DCIR|DDB27|CD367|hDCIR"	CLECSF6	C-type lectin domain family 4 member A
CLEC4C	"HECL|DLEC|BDCA2|CD303"	"CLECSF11|CLECSF7"	C-type lectin domain family 4 member C
CLEC4D	"Mpcl|CD368|MCL|Dectin-3"	CLECSF8	C-type lectin domain family 4 member D
CLEC4E	MINCLE	CLECSF9	C-type lectin domain family 4 member E
CLEC4F	"FLJ39110|KCLR"	CLECSF13	C-type lectin domain family 4 member F
CLEC4G	"UNQ431|LSECTIN"		C-type lectin domain family 4 member G
CLEC4GP1			C-type lectin domain family 4 member G pseudogene 1
CLEC4M	"HP10347|DC-SIGNR|LSIGN|DCSIGNR|DC-SIGN2"	"CD209L|CD299"	C-type lectin domain family 4 member M
CLEC4OP		"LINC01835|CLEC4O"	C-type lectin domain family 4 member O, pseudogene
CLEC5A	MDL-1	CLECSF5	C-type lectin domain containing 5A
CLEC6A	"dectin-2|hDECTIN-2"	CLECSF10	C-type lectin domain containing 6A
CLEC7A	"DECTIN-1|hDectin-1|CD369|SCARE2"	CLECSF12	C-type lectin domain containing 7A
CLEC9A	"UNQ9341|HEEE9341|CD370|DNGR-1"		C-type lectin domain containing 9A
CLEC10A	"HML2|HML|CD301"	"CLECSF13|CLECSF14"	C-type lectin domain containing 10A
CLEC11A	"P47|LSLCL|CLECSF3"	SCGF	C-type lectin domain containing 11A
CLEC12A	"CLL-1|MICL|CD371|DCAL-2"		C-type lectin domain family 12 member A
CLEC12A-AS1			CLEC12A antisense RNA 1
CLEC12B			C-type lectin domain family 12 member B
